trial name,items,id,type,threads,completion time,service time,bandwidth,speedup,scalability,efficiency
door1080-h1-3iter-stream,924,1,seq,1,62609799,67759.52,0,1,1,1
door1080-h1-3iter-stream,924,1,ff,1,61511379,66570.75,0,1.01,1.00,1.01
door1080-h1-3iter-stream,924,1,ff,2,45498070,49240.33,0,1.37,1.35,.68
door1080-h1-3iter-stream,924,1,ff,3,34850030,37716.48,0,1.79,1.76,.59
door1080-h1-3iter-stream,924,1,ff,4,25535138,27635.43,0,2.45,2.40,.61
door1080-h1-3iter-stream,924,1,ff,5,21066053,22798.75,0,2.97,2.91,.59
door1080-h1-3iter-stream,924,1,ff,6,17648704,19100.32,0,3.54,3.48,.59
door1080-h1-3iter-stream,924,1,ff,7,15255709,16510.50,0,4.10,4.03,.58
door1080-h1-3iter-stream,924,1,ff,8,13897441,15040.52,0,4.50,4.42,.56
door1080-h1-3iter-stream,924,1,ff,9,11796211,12766.46,0,5.30,5.21,.58
door1080-h1-3iter-stream,924,1,ff,10,11321906,12253.14,0,5.52,5.43,.55
door1080-h1-3iter-stream,924,1,ff,11,10191358,11029.60,0,6.14,6.03,.55
door1080-h1-3iter-stream,924,1,ff,12,8623690,9332.99,0,7.26,7.13,.60
door1080-h1-3iter-stream,924,1,ff,13,8659464,9371.71,0,7.23,7.10,.55
door1080-h1-3iter-stream,924,1,ff,14,7971787,8627.47,0,7.85,7.71,.56
door1080-h1-3iter-stream,924,1,ff,15,7876784,8524.65,0,7.94,7.80,.52
door1080-h1-3iter-stream,924,1,ff,16,7724734,8360.10,0,8.10,7.96,.50
door1080-h1-3iter-stream,924,1,ff,17,7844998,8490.25,0,7.98,7.84,.46
door1080-h1-3iter-stream,924,1,ff,18,7917330,8568.53,0,7.90,7.76,.43
door1080-h1-3iter-stream,924,1,ff,19,7699561,8332.85,0,8.13,7.98,.42
door1080-h1-3iter-stream,924,1,ff,20,7987280,8644.24,0,7.83,7.70,.39
door1080-h1-3iter-stream,924,1,ff,21,7850251,8495.94,0,7.97,7.83,.37
door1080-h1-3iter-stream,924,1,ff,22,7600649,8225.81,0,8.23,8.09,.37
door1080-h1-3iter-stream,924,1,ff,23,7934631,8587.26,0,7.89,7.75,.34
door1080-h1-3iter-stream,924,1,ff,24,8209667,8884.92,0,7.62,7.49,.31
door1080-h1-3iter-stream,924,1,ff,25,8898980,9630.93,0,7.03,6.91,.28
door1080-h1-3iter-stream,924,1,ff,26,8937410,9672.52,0,7.00,6.88,.26
door1080-h1-3iter-stream,924,1,ff,27,8523748,9224.83,0,7.34,7.21,.27
door1080-h1-3iter-stream,924,1,ff,28,8885047,9615.85,0,7.04,6.92,.25
door1080-h1-3iter-stream,924,1,ff,29,9191703,9947.73,0,6.81,6.69,.23
door1080-h1-3iter-stream,924,1,ff,30,10378664,11232.32,0,6.03,5.92,.20
door1080-h1-3iter-stream,924,1,ff,31,19693340,21313.13,0,3.17,3.12,.10
door1080-h1-3iter-stream,924,1,ff,32,17326411,18751.52,0,3.61,3.55,.11
door1080-h1-3iter-stream,924,1,ff_acc,1,58537489,63352.26,0,1.06,1.00,1.06
door1080-h1-3iter-stream,924,1,ff_acc,2,32245659,34897.89,0,1.94,1.81,.97
door1080-h1-3iter-stream,924,1,ff_acc,3,32665584,35352.36,0,1.91,1.79,.63
door1080-h1-3iter-stream,924,1,ff_acc,4,25047646,27107.84,0,2.49,2.33,.62
door1080-h1-3iter-stream,924,1,ff_acc,5,20257429,21923.62,0,3.09,2.88,.61
door1080-h1-3iter-stream,924,1,ff_acc,6,16657422,18027.51,0,3.75,3.51,.62
door1080-h1-3iter-stream,924,1,ff_acc,7,14786859,16003.09,0,4.23,3.95,.60
door1080-h1-3iter-stream,924,1,ff_acc,8,12942074,14006.57,0,4.83,4.52,.60
door1080-h1-3iter-stream,924,1,ff_acc,9,12222715,13228.04,0,5.12,4.78,.56
door1080-h1-3iter-stream,924,1,ff_acc,10,10911242,11808.70,0,5.73,5.36,.57
door1080-h1-3iter-stream,924,1,ff_acc,11,10218973,11059.49,0,6.12,5.72,.55
door1080-h1-3iter-stream,924,1,ff_acc,12,9547721,10333.03,0,6.55,6.13,.54
door1080-h1-3iter-stream,924,1,ff_acc,13,8736564,9455.15,0,7.16,6.70,.55
door1080-h1-3iter-stream,924,1,ff_acc,14,8327400,9012.33,0,7.51,7.02,.53
door1080-h1-3iter-stream,924,1,ff_acc,15,7947930,8601.65,0,7.87,7.36,.52
door1080-h1-3iter-stream,924,1,ff_acc,16,8157759,8828.74,0,7.67,7.17,.47
door1080-h1-3iter-stream,924,1,ff_acc,17,7746848,8384.03,0,8.08,7.55,.47
door1080-h1-3iter-stream,924,1,ff_acc,18,7900797,8550.64,0,7.92,7.40,.44
door1080-h1-3iter-stream,924,1,ff_acc,19,7689725,8322.21,0,8.14,7.61,.42
door1080-h1-3iter-stream,924,1,ff_acc,20,7980747,8637.17,0,7.84,7.33,.39
door1080-h1-3iter-stream,924,1,ff_acc,21,8139776,8809.28,0,7.69,7.19,.36
door1080-h1-3iter-stream,924,1,ff_acc,22,8536931,9239.10,0,7.33,6.85,.33
door1080-h1-3iter-stream,924,1,ff_acc,23,8262219,8941.79,0,7.57,7.08,.32
door1080-h1-3iter-stream,924,1,ff_acc,24,8744951,9464.23,0,7.15,6.69,.29
door1080-h1-3iter-stream,924,1,ff_acc,25,8781466,9503.75,0,7.12,6.66,.28
door1080-h1-3iter-stream,924,1,ff_acc,26,9880734,10693.43,0,6.33,5.92,.24
door1080-h1-3iter-stream,924,1,ff_acc,27,9526794,10310.38,0,6.57,6.14,.24
door1080-h1-3iter-stream,924,1,ff_acc,28,9788904,10594.05,0,6.39,5.97,.22
door1080-h1-3iter-stream,924,1,ff_acc,29,9825913,10634.10,0,6.37,5.95,.21
door1080-h1-3iter-stream,924,1,ff_acc,30,9491484,10272.16,0,6.59,6.16,.21
door1080-h1-3iter-stream,924,1,ff_acc,31,10364030,11216.48,0,6.04,5.64,.19
door1080-h1-3iter-stream,924,1,ff_acc,32,19636464,21251.58,0,3.18,2.98,.09
door1080-h1-3iter-stream,924,1,ff_deman,1,89905781,97300.62,0,.69,1.00,.69
door1080-h1-3iter-stream,924,1,ff_deman,2,43230747,46786.52,0,1.44,2.07,.72
door1080-h1-3iter-stream,924,1,ff_deman,3,31543120,34137.57,0,1.98,2.85,.66
door1080-h1-3iter-stream,924,1,ff_deman,4,23010443,24903.07,0,2.72,3.90,.68
door1080-h1-3iter-stream,924,1,ff_deman,5,19831227,21462.36,0,3.15,4.53,.63
door1080-h1-3iter-stream,924,1,ff_deman,6,16022402,17340.26,0,3.90,5.61,.65
door1080-h1-3iter-stream,924,1,ff_deman,7,14001396,15153.02,0,4.47,6.42,.63
door1080-h1-3iter-stream,924,1,ff_deman,8,12484900,13511.79,0,5.01,7.20,.62
door1080-h1-3iter-stream,924,1,ff_deman,9,11472839,12416.49,0,5.45,7.83,.60
door1080-h1-3iter-stream,924,1,ff_deman,10,10410804,11267.10,0,6.01,8.63,.60
door1080-h1-3iter-stream,924,1,ff_deman,11,9821582,10629.41,0,6.37,9.15,.57
door1080-h1-3iter-stream,924,1,ff_deman,12,9031191,9774.01,0,6.93,9.95,.57
door1080-h1-3iter-stream,924,1,ff_deman,13,8436315,9130.21,0,7.42,10.65,.57
door1080-h1-3iter-stream,924,1,ff_deman,14,7888986,8537.86,0,7.93,11.39,.56
door1080-h1-3iter-stream,924,1,ff_deman,15,7802085,8443.81,0,8.02,11.52,.53
door1080-h1-3iter-stream,924,1,ff_deman,16,7691894,8324.56,0,8.13,11.68,.50
door1080-h1-3iter-stream,924,1,ff_deman,17,7507672,8125.18,0,8.33,11.97,.49
door1080-h1-3iter-stream,924,1,ff_deman,18,7521575,8140.23,0,8.32,11.95,.46
door1080-h1-3iter-stream,924,1,ff_deman,19,7452747,8065.74,0,8.40,12.06,.44
