trial name,items,id,type,threads,completion time,service time,bandwidth,speedup,scalability,efficiency
house720-h1-3iter-stream,84,1,seq,1,2401120,28584.76,0,1,1,1
house720-h1-3iter-stream,84,1,threads,1,2212393,26338.01,0,1.08,1.00,1.08
house720-h1-3iter-stream,84,1,threads,2,1210128,14406.28,0,1.98,1.82,.99
house720-h1-3iter-stream,84,1,threads,3,916438,10909.97,0,2.62,2.41,.87
house720-h1-3iter-stream,84,1,threads,4,714787,8509.36,0,3.35,3.09,.83
house720-h1-3iter-stream,84,1,threads,5,619793,7378.48,0,3.87,3.56,.77
house720-h1-3iter-stream,84,1,threads,6,626537,7458.77,0,3.83,3.53,.63
house720-h1-3iter-stream,84,1,threads,7,556260,6622.14,0,4.31,3.97,.61
house720-h1-3iter-stream,84,1,threads,8,503453,5993.48,0,4.76,4.39,.59
house720-h1-3iter-stream,84,1,threads,9,506810,6033.45,0,4.73,4.36,.52
house720-h1-3iter-stream,84,1,threads,10,494265,5884.10,0,4.85,4.47,.48
house720-h1-3iter-stream,84,1,threads,11,482525,5744.34,0,4.97,4.58,.45
house720-h1-3iter-stream,84,1,threads,12,473189,5633.20,0,5.07,4.67,.42
house720-h1-3iter-stream,84,1,threads,13,461336,5492.09,0,5.20,4.79,.40
house720-h1-3iter-stream,84,1,threads,14,491462,5850.73,0,4.88,4.50,.34
house720-h1-3iter-stream,84,1,threads,15,484285,5765.29,0,4.95,4.56,.33
house720-h1-3iter-stream,84,1,threads,16,499825,5950.29,0,4.80,4.42,.30
house720-h1-3iter-stream,84,1,threads,17,471641,5614.77,0,5.09,4.69,.29
house720-h1-3iter-stream,84,1,threads,18,512135,6096.84,0,4.68,4.31,.26
house720-h1-3iter-stream,84,1,threads,19,498992,5940.38,0,4.81,4.43,.25
house720-h1-3iter-stream,84,1,threads,20,479647,5710.08,0,5.00,4.61,.25
house720-h1-3iter-stream,84,1,threads,21,470952,5606.57,0,5.09,4.69,.24
house720-h1-3iter-stream,84,1,threads,22,465729,5544.39,0,5.15,4.75,.23
house720-h1-3iter-stream,84,1,threads,23,520828,6200.33,0,4.61,4.24,.20
house720-h1-3iter-stream,84,1,threads,24,541686,6448.64,0,4.43,4.08,.18
house720-h1-3iter-stream,84,1,threads,25,489852,5831.57,0,4.90,4.51,.19
house720-h1-3iter-stream,84,1,threads,26,555853,6617.29,0,4.31,3.98,.16
house720-h1-3iter-stream,84,1,threads,27,472902,5629.78,0,5.07,4.67,.18
house720-h1-3iter-stream,84,1,threads,28,489221,5824.05,0,4.90,4.52,.17
house720-h1-3iter-stream,84,1,threads,29,515723,6139.55,0,4.65,4.28,.16
house720-h1-3iter-stream,84,1,threads,30,516674,6150.88,0,4.64,4.28,.15
house720-h1-3iter-stream,84,1,threads,31,508588,6054.61,0,4.72,4.35,.15
house720-h1-3iter-stream,84,1,threads,32,546156,6501.85,0,4.39,4.05,.13
house720-h1-3iter-stream,84,1,threads_pin,1,2255146,26846.97,0,1.06,1.00,1.06
house720-h1-3iter-stream,84,1,threads_pin,2,2010894,23939.21,0,1.19,1.12,.59
house720-h1-3iter-stream,84,1,threads_pin,3,1162952,13844.66,0,2.06,1.93,.68
house720-h1-3iter-stream,84,1,threads_pin,4,1108097,13191.63,0,2.16,2.03,.54
house720-h1-3iter-stream,84,1,threads_pin,5,864024,10286.00,0,2.77,2.61,.55
house720-h1-3iter-stream,84,1,threads_pin,6,816941,9725.48,0,2.93,2.76,.48
house720-h1-3iter-stream,84,1,threads_pin,7,677130,8061.07,0,3.54,3.33,.50
house720-h1-3iter-stream,84,1,threads_pin,8,677392,8064.19,0,3.54,3.32,.44
house720-h1-3iter-stream,84,1,threads_pin,9,592189,7049.86,0,4.05,3.80,.45
house720-h1-3iter-stream,84,1,threads_pin,10,605511,7208.46,0,3.96,3.72,.39
house720-h1-3iter-stream,84,1,threads_pin,11,534622,6364.54,0,4.49,4.21,.40
house720-h1-3iter-stream,84,1,threads_pin,12,539709,6425.10,0,4.44,4.17,.37
house720-h1-3iter-stream,84,1,threads_pin,13,489898,5832.11,0,4.90,4.60,.37
house720-h1-3iter-stream,84,1,threads_pin,14,500973,5963.96,0,4.79,4.50,.34
house720-h1-3iter-stream,84,1,threads_pin,15,475662,5662.64,0,5.04,4.74,.33
house720-h1-3iter-stream,84,1,threads_pin,16,491881,5855.72,0,4.88,4.58,.30
house720-h1-3iter-stream,84,1,threads_pin,17,448807,5342.94,0,5.35,5.02,.31
house720-h1-3iter-stream,84,1,threads_pin,18,452155,5382.79,0,5.31,4.98,.29
house720-h1-3iter-stream,84,1,threads_pin,19,447373,5325.86,0,5.36,5.04,.28
house720-h1-3iter-stream,84,1,threads_pin,20,514361,6123.34,0,4.66,4.38,.23
house720-h1-3iter-stream,84,1,threads_pin,21,457832,5450.38,0,5.24,4.92,.24
house720-h1-3iter-stream,84,1,threads_pin,22,503025,5988.39,0,4.77,4.48,.21
house720-h1-3iter-stream,84,1,threads_pin,23,530948,6320.80,0,4.52,4.24,.19
house720-h1-3iter-stream,84,1,threads_pin,24,444314,5289.45,0,5.40,5.07,.22
house720-h1-3iter-stream,84,1,threads_pin,25,493442,5874.30,0,4.86,4.57,.19
house720-h1-3iter-stream,84,1,threads_pin,26,501063,5965.03,0,4.79,4.50,.18
house720-h1-3iter-stream,84,1,threads_pin,27,476033,5667.05,0,5.04,4.73,.18
house720-h1-3iter-stream,84,1,threads_pin,28,495660,5900.71,0,4.84,4.54,.17
